iter	Passed	Remaining
0	162	162486
1	165	82742
2	167	55747
3	169	42200
4	171	34077
5	172	28573
6	173	24657
7	175	21724
8	176	19436
9	177	17600
10	178	16080
11	179	14799
12	180	13710
13	181	12791
14	182	11985
15	183	11273
16	184	10646
17	184	10086
18	185	9582
19	186	9130
20	187	8721
21	187	8356
22	188	8019
23	189	7707
24	190	7438
25	191	7180
26	192	6933
27	193	6704
28	193	6491
29	194	6291
30	195	6104
31	196	5930
32	196	5767
33	197	5614
34	198	5468
35	199	5330
36	199	5199
37	200	5077
38	201	4966
39	202	4862
40	203	4763
41	204	4669
42	205	4573
43	206	4483
44	207	4393
45	207	4308
46	208	4226
47	209	4149
48	210	4076
49	210	4005
50	211	3938
51	212	3871
52	213	3808
53	213	3747
54	214	3687
55	215	3630
56	216	3574
57	216	3521
58	217	3469
59	218	3419
60	219	3377
61	220	3332
62	221	3287
63	221	3242
64	222	3199
65	223	3157
66	223	3117
67	224	3078
68	225	3040
69	226	3003
70	226	2967
71	227	2931
72	228	2897
73	229	2865
74	229	2832
75	230	2802
76	231	2770
77	231	2740
78	232	2710
79	233	2681
80	234	2656
81	235	2631
82	235	2602
83	236	2576
84	236	2550
85	237	2525
86	238	2500
87	239	2477
88	239	2453
89	240	2430
90	241	2408
91	241	2386
92	242	2364
93	243	2345
94	244	2324
95	244	2304
96	245	2285
97	246	2265
98	246	2245
99	247	2227
100	248	2209
101	249	2197
102	250	2181
103	251	2164
104	251	2146
105	252	2129
106	253	2112
107	253	2096
108	254	2080
109	255	2066
110	256	2050
111	256	2035
112	257	2021
113	258	2007
114	259	1993
115	259	1979
116	260	1964
117	260	1950
118	261	1937
119	262	1924
120	263	1910
121	263	1896
122	264	1886
123	265	1876
124	266	1865
125	267	1854
126	268	1842
127	269	1832
128	269	1820
129	270	1809
130	270	1797
131	271	1786
132	272	1776
133	273	1765
134	273	1754
135	274	1743
136	275	1733
137	275	1722
138	276	1712
139	277	1702
140	277	1692
141	278	1681
142	279	1673
143	280	1664
144	281	1657
145	282	1650
